bjd,selfrv,selfrv_err,maskrv,maskrv_err,fwhm,fwhm_err,flux_asym,flux_asym_err,bis,bis_err
2460678.57643038,0.008915173306269947,0.0012613934518904653,1.57306062421138,0.00163971757054921,3.20374729907863,0.00327943514109841,-0.0019229760686906,0.00110037191969301,-0.00266837216060956,0.00327943514109841
2460936.78879914,-0.0031406448619428575,0.001199086986639911,1.55453587600527,0.00146775167115017,3.22604927607552,0.00293550334230035,-0.00301801699679198,0.000988802584790906,0.00113517377033112,0.00293550334230035
2460644.63207592,0.005440933704133349,0.0013672044009872915,1.56279870017482,0.00198881380097957,3.2349838773433,0.00397762760195913,-0.00479568430952271,0.00135140639132009,0.00166756502445176,0.00397762760195913
2460636.62290383,0.0031210051678432003,0.0008256021735763148,1.55796849540493,0.00197730044333724,3.20739089214048,0.00395460088667448,-0.00376605122311401,0.00137915643851074,-0.00122756605934793,0.00395460088667448
2460663.55807919,-0.010241804935753617,0.002621528748162323,1.53920015476017,0.00194541646576868,3.22252963571364,0.00389083293153736,-0.00321163235415098,0.00133506431441679,-0.00475932600744611,0.00389083293153736
2460616.63506655,-0.0010654134660108422,0.0014090014428764519,1.54992049856686,0.00179707704104644,3.1916713807875,0.00359415408209289,-0.00367353436790729,0.00126159602390379,-0.000873556139646015,0.00359415408209289
2460934.82730885,0.009509400385281514,0.0015189147111879157,1.56789940415563,0.0015178363557223,3.2069223755521,0.0030356727114446,-0.0036022543594391,0.00105232440120235,-0.00439173539557669,0.0030356727114446
2460648.65650582,-0.0015261097409229921,0.0016786447668342556,1.55813479304847,0.0015371699731038,3.20032467408977,0.0030743399462076,-0.00375561569851797,0.00107097807536376,0.00651455417028957,0.0030743399462076
2460671.6203552,0.01667979816326547,0.0023561921032466547,1.56665974031277,0.00196663777368771,3.19027310921917,0.00393327554737542,-0.00308483068986333,0.00138363733312379,-0.00061399235598314,0.00393327554737542
2460607.70620917,0.0033984285602313693,0.0017746111887049912,1.56635715336204,0.00152803385804928,3.2364887724813,0.00305606771609857,-0.00300235928116753,0.00104165561445545,-0.0041414822896173,0.00305606771609857
2460877.8991781,0.0066288515954030965,0.0018215322347180194,1.56277914667964,0.00170311083306789,3.19977398840648,0.00340622166613578,-0.00256337287608093,0.00118841606261227,0.00297435616559261,0.00340622166613578
2460612.71435145,0.017036445690954204,0.0022531770369191733,1.57776818679164,0.00177020114318213,3.20022852143637,0.00354040228636426,-0.00173317029877817,0.00123194064308269,-0.000781509468998465,0.00354040228636426
2460707.55520634,-0.025413916263410746,0.004502679536915877,1.54443141361558,0.00266967340815841,3.19871514258411,0.00533934681631681,-0.00463334287602896,0.00185261328254169,-5.08610333502801e-05,0.00533934681631681
2460614.65551358,-0.01696831463295388,0.0034043265954321962,1.53624495822497,0.00355035771394821,3.21550391649384,0.00710071542789643,-0.00605124933545597,0.00244889472596567,0.0126945076094083,0.00710071542789643
2460652.57783642,-0.0027498744834744226,0.0023428405641419997,1.55446840293768,0.00238219688627418,3.20414435364202,0.00476439377254836,-0.00319396425776725,0.00165809736051685,-0.00301289053950482,0.00476439377254836
2460640.55950272,-0.004855285043039,0.002131853678930745,1.5581906446502,0.00339609867622476,3.20711282913012,0.00679219735244953,-0.000819994330976305,0.00235518872773778,0.00259005286136715,0.00679219735244953
2460640.62065774,0.004778200624739576,0.0035970627672302926,1.57351965879306,0.00569558079986075,3.20528646509275,0.0113911615997215,-0.00477310173125301,0.00386468490915683,-0.00445935302050948,0.0113911615997215
2460621.60028205,-0.007503292573582806,0.0026276754986490594,1.55001061167591,0.00184496380846692,3.1989506320828,0.00368992761693384,-0.00386794519393186,0.00128435685744498,0.00607875718998963,0.00368992761693384
