bjd rv_gz rv_gz_err rv_esp rv_esp_err rv_bart rv_bart_err rv_lbl rv_lbl_err fwhm_gz fwhm_gz_err asym asym_err bis bis_err fwhm_esp fwhm_esp_err contrast contrast_err s s_err ha ha_err na na_err ca ca_err dlw dlw_err fwhm_lbl fwhm_lbl_err
2460587.700764860026538372 0.011933867952976801 0.001422537684360200 1.578307783615219950 0.001711275087470800 1.574193548567546230 0.000837493809485400 1.352496842024318413 0.000658164212402495 3.204734809492019831 0.003422550174941500 -0.001329980949347600 0.001189564662962300 -0.008536284485540000 0.003422550174941500 3.206680153999999838 0.003209136000000000 27.803629999999998290 0.027824999999999801 5514.836376000000200293 16.648330000000001405 2.094006999999999952 0.000399000000000000 0.193890000000000007 0.000246000000000000 5.252716999999999636 0.015946999999999802 0.000011111966720400 0.000000569246255100 6.829083083977154800 0.001002356479776031
2460589.693968569394201040 -0.014833246030210100 0.002026643943775200 1.548177652337020094 0.001796465530775000 1.544054956553656321 0.000874577121234600 1.319075634161310795 0.000696342122339317 3.222707528451839831 0.003592931061550100 -0.004120007224763800 0.001233004720920700 -0.004289255980299100 0.003592931061550100 3.223602964000000348 0.003363943000000000 27.441282000000001062 0.028636000000000002 6238.878528999999616644 17.855388999999998845 2.571274999999999977 0.000443000000000000 0.214565000000000006 0.000263000000000000 5.946244000000000085 0.017103000000000000 0.000000976965785000 0.000000551385398500 6.848540376382548089 0.001059995379467174
2460594.780793500132858753 0.010991522026538100 0.001473038463405100 1.576800552481520068 0.001808481286731200 1.572788105246802015 0.000871844930035500 1.351532598356695258 0.000681816237381231 3.213230141438660148 0.003616962573462500 -0.001228798807155800 0.001244775401786800 -0.010053760691988200 0.003616962573462500 3.201166798000000036 0.003312063000000000 27.747565000000001589 0.028708999999999901 7399.925938000000314787 20.345715999999999468 2.705954999999999888 0.000451000000000000 0.260502999999999818 0.000275000000000000 7.058358000000000132 0.019487999999999901 0.000001662498177900 0.000000552303691300 6.850221092541356249 0.001038400006473824
2460607.706209170166403055 0.004789483514948300 0.001261520814626100 1.566357153362039956 0.001528033858049200 1.563040848828726403 0.000721798679696400 1.338125811705851209 0.000597141958503312 3.236488772481299847 0.003056067716098500 -0.003002359281167500 0.001041655614455400 -0.004141482289617300 0.003056067716098500 3.236893805999999874 0.002867906000000000 27.552687999999999846 0.024412000000000000 8027.754275000000234286 14.867874000000000478 3.326706999999999859 0.000398000000000000 0.290441999999999922 0.000232000000000000 7.659726000000000035 0.014241000000000000 0.000019978907699300 0.000000629869141000 6.868100579403170869 0.000909340341869783
2460612.714351450093090534 0.014007531145333700 0.002074812467227800 1.577768186791639993 0.001770201143182100 1.576270648067318758 0.000843763511479800 1.353380124157497866 0.000681802203968581 3.200228521436370155 0.003540402286364200 -0.001733170298778100 0.001231940643082600 -0.000781509468998400 0.003540402286364200 3.202188051999999896 0.003290300000000000 27.991396000000001720 0.028761999999999802 5624.955713000000287138 15.955121999999999360 2.231774000000000147 0.000427000000000000 0.206865999999999911 0.000263000000000000 5.358195000000000263 0.015283000000000000 0.000006847255471900 0.000000550735527500 6.826759678366470574 0.001038665571547425
2460614.655513579957187176 -0.008192350907363000 0.002757082274623600 1.536244958224969981 0.003550357713948200 1.535065832239280725 0.001571451202764100 1.311979719653751930 0.001183822574532054 3.215503916493839931 0.007100715427896400 -0.006051249335455900 0.002448894725965600 0.012694507609408301 0.007100715427896400 3.229597746000000047 0.006263411999999900 27.867502999999999247 0.054045999999999900 8357.259830000000874861 81.950311999999982504 2.462747999999999937 0.000915000000000000 0.321002999999999927 0.000625000000000000 7.975344999999999906 0.078495999999999802 -0.000090246804599700 0.000000378886717600 6.832548139071353610 0.001802828310981028
2460616.635066550225019455 -0.003356983639677500 0.001172112756903100 1.549920498566859983 0.001797077041046400 1.552840180860838082 0.000927606733144000 1.329258858603745264 0.000706963890639116 3.191671380787500123 0.003594154082092800 -0.003673534367907200 0.001261596023903700 -0.000873556139646000 0.003594154082092800 3.198010045999999829 0.003360714000000000 28.190253999999999479 0.029624000000000001 5906.719906999999693653 18.476707000000001102 2.468779000000000057 0.000460000000000000 0.231063999999999908 0.000276000000000000 5.628084000000000309 0.017697999999999901 0.000005880305969100 0.000000535823205400 6.809697843357828795 0.001077054762193881
2460621.600282050203531981 -0.007489539161885700 0.001621951016844200 1.550010611675910033 0.001844963808466900 1.547912225169572720 0.000870158181344300 1.324817798976293481 0.000711260740567856 3.198950632082799839 0.003689927616933800 -0.003867945193931800 0.001284356857444900 0.006078757189989600 0.003689927616933800 3.198236617000000059 0.003403922000000000 27.917103000000000890 0.029713000000000000 6535.210269999999582069 18.114650999999998504 2.812263000000000179 0.000478000000000000 0.272374000000000005 0.000293000000000000 6.230086000000000013 0.017350999999999901 -0.000000249188798100 0.000000529317821500 6.815782333259917891 0.001083047525638612
2460623.575648528989404440 0.004839883280185800 0.001734657063925600 1.565984313455119903 0.001826883474104000 1.560652664337873974 0.000878008613757900 1.339128215865427629 0.000705388436465846 3.189223588108669016 0.003653766948208000 -0.001139463252480100 0.001279020466656300 0.002474696366618400 0.003653766948208000 3.188649004000000176 0.003357977000000000 27.983709999999998530 0.029470000000000000 6249.876906999999846448 17.499272999999998746 2.695575999999999972 0.000469000000000000 0.257852999999999721 0.000287000000000000 5.956779000000000046 0.016761999999999801 0.000001791026214300 0.000000533955817500 6.812353264476710635 0.001074284427030766
2460634.560362168587744236 -0.002714884951240200 0.001499571833143000 1.553948853891800042 0.001735708535688600 1.557372740565909686 0.000866001412941800 1.333046546570937574 0.000679681142118550 3.200652568377150065 0.003471417071377200 -0.003203821372606400 0.001211444793843200 0.007122040376722900 0.003471417071377200 3.196652470000000079 0.003221977000000000 27.938848000000000127 0.028160000000000001 6254.998015999999552150 16.248874000000000706 2.540230000000000210 0.000438000000000000 0.216208000000000011 0.000263000000000000 5.961683999999999983 0.015564000000000000 0.000011488108462900 0.000000553030188600 6.812225002721719491 0.001035367963401883
