BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460900.7706713 1.0344899 0.05646538 1.97548 2.5503 36201.13
2460900.77090278 1.077229 0.05765352 1.98216 2.2108 36105.004
2460900.77105324 1.1114165 0.05794 1.97958 2.2364 36024.797
2460900.7712037 1.0631328 0.05765346 1.97701 2.2762 35995.35
2460900.77134259 1.0384218 0.05747507 1.97443 2.232 35946.727
2460900.77149306 1.0551151 0.05657004 1.97187 2.3099 35904.55
2460900.77164352 1.0066309 0.05626909 1.96932 2.1317 35926.516
2460900.77179398 1.0530598 0.05630523 1.96678 2.247 35795.945
2460900.77194444 1.0039144 0.0561823 1.96426 2.1916 35774.96
2460900.77208333 1.0718092 0.05693233 1.96172 2.2197 35733.906
2460900.7722338 0.98244894 0.05513205 1.95922 2.2471 35734.246
2460900.77238426 1.0604911 0.0562403 1.95672 2.3689 35686.56
2460900.77253472 1.0568438 0.05599046 1.95421 2.1358 35717.3
2460900.77268519 1.0219257 0.05551014 1.95174 2.2371 35712.027
2460900.77282407 1.0520746 0.05602903 1.94925 2.3798 35667.383
2460900.77297454 1.0439111 0.05536093 1.94678 2.2743 35650.92
2460900.773125 1.0397962 0.05523499 1.94428 2.2578 35650.78
2460900.77327546 1.0037287 0.05484976 1.94184 2.2007 35700.902
2460900.77342593 1.0319378 0.0554485 1.93939 2.2425 35557.176
2460900.77357639 1.0453197 0.05528277 1.93694 2.2298 35609.668
2460900.77371528 0.98707575 0.05396056 1.93451 2.1739 35487.465
2460900.77386574 1.0273947 0.05451486 1.93208 2.3946 35513.758
2460900.7740162 0.9579072 0.05394478 1.92966 2.0986 35463.383
2460900.77416667 1.0351305 0.05476533 1.92727 2.119 35375.617
2460900.77430556 1.0451461 0.05407537 1.92487 2.2431 35306.656
2460900.77445602 1.0215924 0.05360341 1.92249 2.1337 35288.633
2460900.77460648 1.0243552 0.05364864 1.92009 2.2366 35249.45
2460900.77475694 1.0236944 0.05376112 1.91773 2.2754 35234.668
2460900.77490741 1.0431471 0.05394564 1.91538 2.2313 35188.934
2460900.7750463 1.0364261 0.05360751 1.91301 2.2069 35148.445
2460900.77519676 1.0271757 0.05396604 1.91065 2.1838 35171.465
2460900.77534722 1.0071678 0.05304712 1.90827 2.2701 35107.438
2460900.77549769 1.0134676 0.05217488 1.90595 2.2475 35115.85
2460900.77564815 1.0365722 0.05328878 1.90362 2.239 35073.15
2460900.77578704 1.0319157 0.05244557 1.9013 2.2536 35026.918
2460900.7759375 1.0427935 0.05259823 1.89899 2.257 34953.246
2460900.77608796 1.07064 0.0530544 1.89668 2.1175 34938.812
2460900.77623843 1.0365933 0.0524816 1.89439 2.379 34842.344
2460900.77637731 1.0733396 0.05302859 1.89211 2.3689 34806.4
2460900.77652778 1.0646067 0.05267572 1.88983 2.2126 34787.625
2460900.77667824 1.0210387 0.05168219 1.88754 2.242 34722.086
2460900.7768287 0.9587657 0.05146629 1.88526 2.0111 34655.02
2460900.77697917 0.9965333 0.05119761 1.883 2.1191 34580.137
2460900.77711806 0.97829527 0.05072013 1.88074 2.2366 34531.082
2460900.77726852 1.0197911 0.05116408 1.8785 2.2274 34584.594
2460900.77741898 0.9842574 0.05104982 1.87625 2.257 34531.547
2460900.77756944 1.02043 0.05102622 1.87398 2.1766 34444.36
2460900.77771991 1.015147 0.05040817 1.87175 2.2872 34394.074
2460900.77787037 1.0735116 0.05183962 1.86954 2.1708 34443.125
2460900.77800926 1.0436444 0.05114222 1.86732 2.2383 34357.69
2460900.77815972 1.0345467 0.05056956 1.86511 2.2763 34330.04
2460900.77831019 1.0153619 0.05033641 1.86291 2.3767 34237.586
2460900.77846065 1.0360261 0.05000019 1.86072 2.3754 34150.367
2460900.77861111 1.0250262 0.05042442 1.85853 2.4879 34109.94
2460900.77875 1.0132933 0.05032845 1.85635 2.2749 34059.145
2460900.77890046 1.047377 0.050602 1.85418 2.2938 34045.18
2460900.7790625 1.0199882 0.04964132 1.85202 2.3357 33974.684
2460900.77921296 1.0108045 0.04999633 1.84986 2.2585 34007.17
2460900.77936343 1.026042 0.04937076 1.8477 2.2424 33941.77
2460900.77950231 1.0312178 0.04951189 1.84557 2.2807 33955.598
2460900.77965278 1.0186648 0.04970119 1.84344 2.3031 33939.07
2460900.77980324 1.0249779 0.04939229 1.84128 2.1893 33945.625
2460900.7799537 0.9795801 0.04891694 1.83916 2.1182 33974.15
2460900.78010417 0.99423516 0.04883298 1.83704 2.1486 33930.855
2460900.78024306 0.96536976 0.0484536 1.83494 2.1869 33903.71
2460900.78039352 1.0114491 0.04913201 1.83283 2.2278 33886.445
2460900.78054398 1.0244783 0.04928317 1.83074 2.3073 33878.266
2460900.78069444 1.0430841 0.0484584 1.82865 2.3189 33778.51
2460900.78084491 0.99796295 0.04822207 1.82656 2.1982 33752.53
2460900.7809838 1.0496975 0.04892359 1.82448 2.2309 33734.46
2460900.78113426 1.0442675 0.04826105 1.82242 2.193 33740.887
2460900.78128472 1.0502304 0.04830151 1.82036 2.1824 33703.36
2460900.78143519 1.0116025 0.0482997 1.81829 2.0962 33712.61
2460900.78158565 1.0632339 0.04842576 1.81623 2.212 33711.87
2460900.78172454 0.9900092 0.0475164 1.81418 2.179 33717.953
2460900.781875 1.0096546 0.04773648 1.81215 2.2448 33687.418
2460900.78202546 1.0306948 0.04822949 1.81007 2.2071 33685.297
2460900.78217593 0.9999933 0.04795091 1.80805 2.3658 33727.31
2460900.78232639 1.0185003 0.04765931 1.80603 2.1816 33707.3
2460900.78247685 1.0511335 0.0481907 1.80402 2.2061 33739.46
2460900.78261574 1.0362202 0.04807953 1.80201 2.222 33709.598
2460900.7827662 1.0762398 0.04816731 1.80001 2.2625 33674.39
2460900.78291667 1.0365065 0.0478831 1.79801 2.2412 33661.605
2460900.78306713 0.99393433 0.04689603 1.79601 2.2579 33607.062
2460900.78321759 1.0410954 0.04748857 1.79402 2.2492 33590.863
2460900.78335648 1.0252157 0.04707633 1.79204 2.2152 33500.75
2460900.78350694 1.0535508 0.04736508 1.79008 2.1991 33472.2
2460900.78365741 1.0362103 0.0473165 1.78811 2.3173 33383.375
2460900.78380787 1.0300583 0.04636857 1.78615 2.1539 33337.137
2460900.78395833 1.0478007 0.04703531 1.78419 2.2437 33271.668
2460900.78409722 1.0437212 0.04707002 1.78225 2.316 33236.285
2460900.78424769 1.0213602 0.04637327 1.78027 2.2213 33187.68
2460900.78439815 0.9821231 0.04593462 1.77834 2.1766 33136.984
2460900.78454861 1.0358027 0.04636745 1.77642 2.3077 33179.914
