BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460900.77060185 0.8957842 0.07949569 1.97464 2.5497 16394.129
2460900.77082176 0.856406 0.08024432 1.98366 2.5976 16326.173
2460900.77096065 0.99625605 0.08166296 1.98107 2.5876 16315.69
2460900.77111111 0.9650508 0.08155396 1.97848 2.6326 16309.934
2460900.77126157 0.89287895 0.07950497 1.97591 2.593 16277.302
2460900.77141204 0.9821733 0.08137454 1.97333 2.5889 16254.695
2460900.7715625 0.90807444 0.07898102 1.97077 2.6457 16221.409
2460900.77171296 0.8887097 0.07903507 1.96823 2.5932 16213.892
2460900.77185185 0.88353634 0.07844316 1.96569 2.5769 16213.396
2460900.77200231 0.90558666 0.07879782 1.96316 2.5928 16182.922
2460900.77215278 0.93770474 0.07846926 1.96065 2.6815 16164.791
2460900.77230324 0.9064121 0.07746557 1.95813 2.6431 16163.76
2460900.7724537 0.996735 0.07943039 1.95561 2.6102 16150.321
2460900.77260417 0.9518012 0.07818682 1.95313 2.5201 16122.538
2460900.77274306 0.96951395 0.07884308 1.95064 2.5291 16135.104
2460900.77289352 0.96001685 0.07818032 1.94816 2.5025 16139.938
2460900.77304398 0.94182676 0.07827343 1.94566 2.6102 16110.769
2460900.77319444 0.9253635 0.07814491 1.94319 2.6576 16126.104
2460900.77334491 0.9545014 0.07729812 1.94074 2.5304 16100.19
2460900.77349537 0.8477956 0.07775654 1.9383 2.5734 16085.909
2460900.77364583 0.910511 0.07804423 1.93586 2.628 16076.704
2460900.77378472 1.0316556 0.07756586 1.93345 2.6439 16038.83
2460900.77393519 0.97680306 0.07700054 1.93102 2.6187 16022.614
2460900.77408565 0.9700935 0.07823822 1.92861 2.6023 16019.481
2460900.77423611 0.80992687 0.07580389 1.92621 2.602 15958.224
2460900.77438657 0.92996895 0.07673035 1.9238 2.6138 15970.908
2460900.77453704 0.99873424 0.07706164 1.92143 2.5942 15948.711
2460900.77467593 0.93219125 0.07658666 1.91904 2.575 15936.408
2460900.77482639 0.8054693 0.07468075 1.91667 2.5571 15928.916
2460900.77497685 0.99368453 0.0757848 1.91429 2.5981 15905.251
2460900.77512731 0.85433584 0.07481759 1.91193 2.6737 15913.917
2460900.77527778 0.93574554 0.07562513 1.90954 2.6912 15899.1
2460900.77542824 0.9161349 0.07593293 1.90718 2.7213 15896.322
2460900.7755787 0.8817923 0.07503178 1.90485 2.6579 15851.952
2460900.77572917 0.95521176 0.07542401 1.90253 2.7464 15865.186
2460900.77586806 0.97236687 0.07464883 1.90019 2.6313 15847.876
2460900.77601852 0.97574854 0.07459907 1.89788 2.6575 15796.82
2460900.77616898 0.9324934 0.07464881 1.89558 2.6338 15771.903
2460900.77631944 0.91946495 0.07359545 1.89326 2.4104 15743.881
2460900.77646991 0.9620231 0.07478042 1.89098 2.6481 15723.766
2460900.77662037 0.9600497 0.07404274 1.88869 2.5984 15712.389
2460900.77677083 0.9771881 0.0753075 1.88642 2.696 15680.853
2460900.77690972 0.9124369 0.0723811 1.88416 2.6403 15646.729
2460900.77706019 0.8957835 0.0733632 1.88189 2.434 15641.368
2460900.77721065 1.000761 0.07384726 1.87963 2.6088 15617.952
2460900.77736111 0.815022 0.07252243 1.87738 2.3892 15587.489
2460900.77751157 0.9292665 0.07301233 1.87509 2.3135 15614.477
2460900.77766204 0.8775359 0.071997 1.87284 2.6543 15573.954
2460900.7778125 0.88445145 0.07236954 1.87061 2.618 15546.22
2460900.77796296 0.89833355 0.07175972 1.8684 2.6432 15546.242
2460900.77810185 0.88888276 0.0714577 1.86618 2.4639 15530.342
2460900.77825231 0.8967687 0.07306905 1.86398 2.6762 15485.605
2460900.77840278 0.95517087 0.07366908 1.86176 2.5634 15473.832
2460900.77855324 1.0300413 0.0725844 1.85957 2.6534 15448.182
2460900.7787037 1.0092313 0.07310229 1.85738 2.755 15432.676
