BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460900.77055556 0.9792999 0.05481952 1.97525 2.3704 25694.082
2460900.77076389 0.96353 0.0558014 1.98464 2.5794 25669.816
2460900.77092593 0.919084 0.0553206 1.98166 2.3779 25612.053
2460900.77107639 0.96030056 0.05554475 1.97908 2.4395 25606.209
2460900.77122685 0.97912735 0.05534367 1.97651 2.1786 25548.236
2460900.77137731 0.966377 0.05568549 1.97394 2.3586 25532.695
2460900.77152778 0.96993905 0.05521889 1.97139 2.2711 25472.414
2460900.77166667 0.9010969 0.05490514 1.96884 2.2737 25456.209
2460900.77181713 0.97062576 0.05498321 1.96632 2.417 25423.258
2460900.77196759 0.9399276 0.05442534 1.96378 2.4608 25422.074
2460900.77211806 0.9624991 0.05421798 1.96127 2.2251 25344.156
2460900.77226852 0.9997798 0.05481366 1.95877 2.4095 25364.793
2460900.77240741 1.0087665 0.05514134 1.95626 2.4625 25337.691
2460900.77255787 0.9619258 0.05406073 1.95376 2.5316 25312.594
2460900.77270833 1.0116767 0.05433316 1.95129 2.1691 25295.03
2460900.7728588 0.9363398 0.05331681 1.9488 2.3058 25286.844
2460900.77300926 0.8597331 0.05290256 1.94631 2.5248 25297.268
2460900.77315972 0.9503899 0.05353436 1.94385 2.706 25306.22
2460900.77329861 1.0048944 0.05430242 1.94138 2.1689 25270.107
2460900.77344907 0.90401024 0.05335761 1.93895 2.4011 25229.604
2460900.77359954 0.98893666 0.05365365 1.9365 2.3496 25240.13
2460900.77375 0.90203303 0.05255873 1.93408 2.5142 25205.22
2460900.77390046 0.9549396 0.05316776 1.93164 2.3743 25185.166
2460900.77403935 0.90982705 0.05260129 1.92924 2.2585 25101.23
2460900.77418981 0.96045864 0.05290806 1.92683 2.4227 25093.258
2460900.77434028 1.027799 0.05360527 1.92442 2.2059 25039.943
2460900.77449074 0.97230387 0.05317279 1.92205 2.3826 25014.688
2460900.7746412 0.99555844 0.05291718 1.91966 2.5022 25009.463
2460900.77478009 0.97384036 0.05236892 1.91727 2.3018 24995.691
2460900.77493056 1.0154177 0.05256211 1.91489 2.4716 24975.729
2460900.77508102 0.8677526 0.05166388 1.91253 2.4648 24984.027
2460900.77523148 0.9375373 0.05202507 1.91015 2.3694 24909.428
2460900.77538194 0.8977367 0.05145043 1.90779 2.786 24921.812
2460900.77553241 0.99531347 0.05180784 1.90545 2.7587 24882.693
2460900.77568287 0.93482214 0.05162214 1.90312 2.2932 24852.32
2460900.77582176 1.0119673 0.05159472 1.90079 2.5389 24812.447
2460900.77597222 0.9449913 0.05087982 1.89848 2.3309 24800.193
2460900.77612269 0.97041047 0.05114522 1.89617 2.1822 24751.705
2460900.77627315 0.99665326 0.05098857 1.89388 2.3406 24649.822
2460900.77642361 0.8756948 0.0499592 1.89159 2.4535 24633.594
2460900.7765625 0.90381634 0.05026553 1.88929 2.1402 24625.69
2460900.77671296 1.0180786 0.05135171 1.88701 2.3974 24562.037
2460900.77686343 0.9790901 0.05103368 1.88473 2.2487 24542.445
2460900.77701389 0.95057833 0.05060565 1.88247 2.6469 24505.438
2460900.77716435 0.99149394 0.05007388 1.88021 2.3727 24495.672
2460900.77730324 0.9440844 0.05027274 1.87795 2.429 24438.88
2460900.7774537 0.9923056 0.05021032 1.87568 2.6075 24450.537
2460900.77760417 1.0274403 0.05072025 1.87344 2.6399 24454.902
2460900.77775463 1.0003653 0.05028191 1.87121 2.4172 24384.074
2460900.77790509 0.9721297 0.04992004 1.86901 2.3933 24366.047
2460900.77805556 0.9484214 0.04921143 1.86679 2.3231 24309.479
2460900.77819444 1.0399994 0.05035545 1.86458 2.4714 24287.37
2460900.77834491 0.9843646 0.04973717 1.86238 2.3761 24236.855
2460900.77849537 1.006354 0.04993924 1.86018 2.2973 24156.068
