BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460981.55422454 0.9937904 0.05126549 1.97173 2.6407 36908.066
2460981.55451389 1.0705281 0.05158708 1.97989 2.3764 36794.746
2460981.55466435 1.1373171 0.05315613 1.9773 2.3804 36709.15
2460981.55481481 1.0414267 0.05159138 1.97472 2.4231 36712.266
2460981.5549537 0.97389644 0.0507182 1.97215 2.4568 36664.836
2460981.55510417 0.96145195 0.04956993 1.9696 2.2568 36655.05
2460981.55525463 1.0297493 0.05078149 1.96703 2.7563 36608.418
2460981.55540509 1.0350847 0.05068515 1.9645 2.5181 36632.805
2460981.55555556 1.0734341 0.05036188 1.96197 2.3762 36596.535
2460981.55570602 1.0403578 0.05031286 1.95944 2.5388 36556.055
2460981.55584491 1.0124907 0.04995043 1.95694 2.406 36531.445
2460981.55599537 1.041933 0.05043774 1.95444 2.664 36516.26
2460981.55614583 1.0569634 0.05070677 1.95195 2.505 36507.418
2460981.5562963 1.0182451 0.04972126 1.94947 2.3155 36446.117
2460981.55644676 1.0217783 0.04973898 1.94699 2.3621 36434.395
2460981.55659722 1.0610352 0.05028548 1.94452 2.5332 36365.438
2460981.55674769 1.0006334 0.0489886 1.94202 2.3938 36316.24
2460981.55689815 1.0752628 0.04984042 1.93956 2.434 36280.176
2460981.55703704 1.0178962 0.04927371 1.93713 2.2035 36218.18
2460981.5571875 1.0300136 0.04923187 1.93468 2.1922 36176.902
2460981.55733796 1.0656222 0.04969267 1.93226 2.2128 36139.12
2460981.55748843 1.0418363 0.04890235 1.92985 2.3586 36055.598
2460981.55763889 1.0439507 0.04905656 1.92742 2.0978 36007.324
2460981.55777778 0.9994018 0.04846277 1.925 2.4822 35939.047
2460981.55792824 0.99709255 0.04790659 1.92259 2.0844 35920.59
2460981.5580787 1.0106341 0.0481559 1.9202 2.4143 35833.668
2460981.55822917 1.0547912 0.04855404 1.91782 2.5812 35782.867
2460981.55837963 1.003977 0.04755474 1.91544 2.553 35711.3
2460981.55853009 1.0409539 0.04798021 1.91306 2.3425 35686.02
2460981.55868056 1.0905638 0.0486196 1.9107 2.3215 35647.535
2460981.55881944 0.9840548 0.04703627 1.90833 2.3727 35650.44
2460981.55896991 1.0014242 0.04683538 1.90596 2.2634 35678.348
2460981.55912037 1.0340222 0.04781073 1.90361 2.2289 35637.305
2460981.55927083 1.0075308 0.04773333 1.9013 2.4183 35705.27
2460981.5594213 1.0307198 0.04790825 1.89898 2.4372 35681.223
2460981.55957176 1.0169855 0.04726534 1.89667 2.4789 35769.723
2460981.55972222 1.0202724 0.04725138 1.89435 2.1668 35747.355
2460981.55986111 1.0118357 0.04764592 1.89204 2.4122 35760.09
2460981.56001157 1.0235058 0.04702199 1.88975 2.4412 35764.168
2460981.56016204 1.0118828 0.04739633 1.88747 2.5324 35769.605
2460981.5603125 1.0043052 0.04681573 1.88519 2.3748 35809.586
2460981.56046296 1.0066667 0.04647443 1.88292 2.1783 35792.992
2460981.56061343 1.0348521 0.04697107 1.88066 2.5488 35830.855
2460981.56075231 1.0117865 0.04650717 1.8784 2.561 35837.332
2460981.56090278 1.0330476 0.04676643 1.87616 2.3012 35819.406
2460981.56105324 1.1022047 0.04753304 1.87392 2.4856 35767.957
2460981.5612037 1.0461357 0.0473674 1.87166 2.6051 35674.305
2460981.56135417 1.0656986 0.04717597 1.86943 2.334 35654.77
2460981.56150463 1.0338112 0.04702871 1.8672 2.519 35600.312
2460981.56165509 1.009167 0.04625063 1.86499 2.5956 35539.285
2460981.56179398 1.0010183 0.04577671 1.86278 2.4404 35431.4
2460981.56194444 1.0072094 0.04580937 1.86058 2.4666 35381.418
2460981.56209491 1.0095731 0.04546346 1.85838 2.2649 35234.285
2460981.56224537 1.0228064 0.04576935 1.85621 2.4192 35129.953
2460981.56239583 1.0424492 0.04582302 1.85403 2.1437 35125.16
2460981.5625463 0.9753708 0.04464523 1.85184 2.4182 35115.277
2460981.56268519 1.0558251 0.045414 1.84969 2.3188 35100.09
2460981.56283565 1.0235231 0.04515294 1.84753 2.2023 35031.89
2460981.56298611 1.0133448 0.04497714 1.84539 2.2584 35008.836
2460981.56313657 1.0451986 0.04503382 1.84324 2.255 34941.445
2460981.56328704 1.0142986 0.04501309 1.84111 2.2955 34909.805
2460981.5634375 1.011792 0.04443174 1.83894 2.4388 34901.62
2460981.56358796 1.0118543 0.04418693 1.8368 2.4527 34874.125
2460981.56373843 0.979592 0.043913 1.83468 2.4446 34939.965
2460981.56387731 0.97977513 0.04398045 1.83257 2.097 34923.59
2460981.56402778 0.9983764 0.04406734 1.83047 2.4078 34951.613
2460981.56417824 1.0116565 0.04376581 1.82836 2.3795 34987.984
2460981.5643287 1.020413 0.04399604 1.82628 2.4389 34985.516
2460981.56447917 1.0143268 0.04423994 1.82418 2.5096 34975.87
2460981.56462963 1.0502368 0.04452336 1.82212 2.2543 34922.18
2460981.56476852 1.0320694 0.04415351 1.82004 2.4899 34913.477
2460981.56491898 1.003242 0.04398399 1.81798 2.2685 34833.984
2460981.56506944 1.0021732 0.04349111 1.81593 2.4261 34830.562
