BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460981.55425926 1.0209653 0.05702427 1.98434 2.211 48512.89
2460981.55459491 0.96155035 0.05574155 1.97823 2.2792 48304.727
2460981.55474537 0.97512436 0.05606498 1.97566 2.3847 48322.906
2460981.55489583 0.9299425 0.05525285 1.97309 2.3613 48227.95
2460981.5550463 0.98719275 0.05618424 1.97053 2.2728 48121.03
2460981.55519676 1.000024 0.05602627 1.96797 2.2299 48012.645
2460981.55533565 0.98053557 0.05625977 1.96543 2.2064 48003.457
2460981.55548611 0.9626655 0.05502317 1.96289 2.2965 47942.926
2460981.55563657 0.9710522 0.05565064 1.96037 2.4032 47979.28
2460981.55578704 1.0041411 0.05474791 1.95784 2.3056 47868.35
2460981.5559375 0.9626435 0.05472193 1.95534 2.2983 47843.207
2460981.55608796 0.95531315 0.05484555 1.95284 2.5129 47821.688
2460981.55623843 0.9675915 0.05417949 1.95035 2.2944 47674.805
2460981.55637731 0.9405929 0.05457013 1.94788 2.279 47726.48
2460981.55652778 0.9657555 0.05436734 1.94539 2.1342 47638.44
2460981.55667824 0.9606356 0.05394711 1.94292 2.2597 47579.254
2460981.5568287 0.93256986 0.05307372 1.94042 2.3749 47485.535
2460981.55697917 0.99827707 0.05424851 1.93798 2.2942 47400.863
2460981.55712963 0.9962943 0.05415801 1.93552 2.295 47393.434
2460981.55728009 0.97976637 0.05356592 1.93308 2.3609 47283.67
2460981.55741898 0.960085 0.05310924 1.93065 2.2936 47215.758
2460981.55756944 0.95562434 0.05325707 1.92823 2.3402 47195.484
2460981.55771991 0.962352 0.05294764 1.92581 2.2286 47078.707
2460981.55787037 1.0226432 0.05358629 1.9234 2.1748 47031.65
2460981.55802083 0.9908792 0.05319001 1.92101 2.2988 46933.332
2460981.5581713 0.99335605 0.05272494 1.91862 2.2946 46794.74
2460981.55832176 0.9773052 0.05245132 1.91624 2.3282 46798.7
2460981.55846065 0.98811156 0.05264814 1.91387 2.2123 46766.668
2460981.55861111 0.9460026 0.05211576 1.91151 2.4133 46706.062
2460981.55876157 0.98990875 0.05231489 1.90914 2.3985 46691.094
2460981.55891204 0.9997988 0.05233503 1.90678 2.2386 46664.3
2460981.5590625 1.000585 0.05236689 1.9044 2.1807 46650.35
2460981.55921296 0.96538615 0.05176231 1.90206 2.3537 46704.67
2460981.55936343 0.95844793 0.05124318 1.89975 2.2898 46712.008
2460981.55951389 0.9925267 0.05189236 1.89742 2.2784 46748.656
2460981.55966435 0.9594015 0.05149709 1.89512 2.2058 46795.08
2460981.55980324 0.979196 0.05157985 1.89281 2.406 46751.203
2460981.5599537 0.96868014 0.05158712 1.89051 2.3376 46868.145
2460981.56010417 0.99830216 0.05170424 1.88822 2.2749 46768.17
2460981.56025463 1.0094981 0.05224968 1.88594 2.3283 46863.01
2460981.56040509 0.9526933 0.05132429 1.88367 2.3205 46886.668
2460981.56055556 0.9952671 0.05143945 1.8814 2.4454 46836.246
2460981.56069444 0.981673 0.05168699 1.87913 2.1383 46860.668
2460981.56084491 0.9707378 0.05076922 1.87689 2.3604 46788.305
2460981.56099537 0.97481066 0.05099462 1.87463 2.2123 46803.16
2460981.56114583 0.93779635 0.05012605 1.8724 2.3427 46781.33
2460981.5612963 0.97949 0.0503342 1.87012 2.3134 46681.195
2460981.56144676 0.9814428 0.05078948 1.86789 2.2758 46669.26
2460981.56159722 1.0175929 0.05088964 1.86567 2.3128 46473.73
2460981.56174769 0.9912408 0.05037497 1.86346 2.3107 46473.156
2460981.56189815 0.9391222 0.04909452 1.86127 2.3704 46308.246
2460981.56203704 0.9589417 0.04939189 1.85907 2.0719 46221.95
2460981.5621875 0.9566006 0.04958516 1.85688 2.3586 46075.227
2460981.56233796 0.9861727 0.05016721 1.85469 2.36 45940.49
2460981.56248843 1.0266175 0.05042794 1.85253 2.3271 45940.21
2460981.56263889 0.9954812 0.04995887 1.85035 2.2812 45984.555
2460981.56278935 0.9778998 0.04907357 1.8482 2.2549 45966.51
2460981.56293981 0.9530123 0.0485083 1.84605 2.3921 45832.07
2460981.5630787 1.0026387 0.04920616 1.8439 2.3662 45728.836
2460981.56322917 0.9685181 0.04895644 1.84177 2.1258 45750.984
2460981.56337963 0.9734963 0.04856581 1.83963 2.212 45713.125
2460981.56353009 0.92777145 0.04817329 1.83747 2.2977 45710.48
2460981.56368056 0.9970621 0.0487696 1.83534 2.1969 45685.426
2460981.56383102 0.96454656 0.04846422 1.83322 2.3024 45774.98
2460981.56398148 0.9988141 0.04888544 1.83111 2.2515 45698.25
2460981.56412037 0.98042536 0.04786774 1.829 2.2602 45774.82
2460981.56427083 0.9542087 0.04798618 1.82692 2.2453 45815.234
2460981.5644213 0.9547792 0.04817447 1.82482 2.1867 45807.074
2460981.56457176 0.99280703 0.04863885 1.82274 2.237 45719.89
2460981.56472222 0.9632645 0.04806725 1.82067 2.2659 45694.25
2460981.56487269 0.9772235 0.04784162 1.81861 2.2977 45607.332
2460981.56502315 0.9641759 0.0475335 1.81655 2.0656 45614.62
2460981.56516204 0.9676475 0.04764657 1.81447 2.1889 45543.23
2460981.5653125 0.9437316 0.0473385 1.81243 2.2743 45562.906
2460981.56546296 0.9814642 0.04750234 1.81037 2.3485 45596.883
2460981.56561343 0.98820436 0.04777848 1.80833 2.2466 45694.83
2460981.56576389 0.9954849 0.04766892 1.80627 2.2818 45695.71
2460981.56591435 0.9868437 0.04748426 1.80425 2.4491 45608.695
2460981.56606482 0.99143636 0.04758285 1.80223 2.4316 45522.117
2460981.56621528 0.95735204 0.04700614 1.80023 2.3681 45489.47
2460981.56636574 0.9874006 0.04761846 1.79823 2.3758 45501.766
2460981.56650463 0.95786256 0.04698157 1.79622 2.4311 45490.69
2460981.56665509 0.96952456 0.04655548 1.79422 2.4674 45409.11
2460981.56680556 0.9898208 0.04716477 1.79222 2.2917 45448.312
2460981.56695602 0.92914665 0.04648294 1.79024 2.1842 45377.39
2460981.56710648 1.0019276 0.04692123 1.78826 2.1562 45267.44
2460981.56725694 0.97850156 0.04631777 1.7863 2.0713 45165.246
2460981.56740741 0.9761932 0.04656633 1.78434 2.3414 45126.19
2460981.5675463 0.9700291 0.04616648 1.78239 2.2476 45038.26
2460981.56769676 0.962049 0.04574675 1.78043 2.2535 45056.156
2460981.56784722 0.9530326 0.0457214 1.77849 2.1664 45005.395
2460981.56799769 1.0434241 0.04660125 1.77651 2.2657 44843.926
2460981.56814815 0.96538377 0.04553352 1.77458 2.213 44773.12
2460981.56829861 0.9504338 0.04497894 1.77265 2.2752 44682.21
2460981.56844907 0.9760447 0.04531664 1.77073 2.1356 44586.227
2460981.56859954 1.004565 0.04571295 1.76881 2.1943 44547.47
2460981.56875 0.9618436 0.04515534 1.7669 2.3159 44504.094
2460981.56888889 1.0117806 0.04556968 1.765 2.3056 44438.38
2460981.56903935 0.9355889 0.04497714 1.76311 2.4464 44374.918
2460981.56918981 0.98798096 0.0448278 1.76121 2.4141 44346.277
2460981.56934028 0.9454521 0.04438916 1.75932 2.3392 44317.24
2460981.56949074 0.9350712 0.04421685 1.75743 2.4716 44279.363
2460981.5696412 0.991087 0.04481268 1.75556 2.1447 44196.36
2460981.56979167 0.98578346 0.04475857 1.75369 2.2249 44110.83
2460981.56993056 0.9953221 0.04465588 1.75181 2.2075 44036.668
2460981.57008102 1.0547282 0.04536757 1.74996 2.2646 43994.12
2460981.57023148 0.9722946 0.04397476 1.74808 2.2489 43895.473
2460981.57038194 0.95064896 0.0438973 1.74623 2.2965 43889.14
2460981.57053241 0.99604744 0.04442014 1.74438 2.4132 43776.75
2460981.57068287 1.0043212 0.04446235 1.74254 2.3466 43728.32
2460981.57083333 0.99565643 0.04386832 1.7407 2.3696 43698.168
2460981.5709838 1.0045546 0.04383066 1.73888 2.4546 43616.22
2460981.57113426 0.9256664 0.04310773 1.73707 2.2569 43587.508
2460981.57127315 0.9728843 0.04332039 1.73525 2.2628 43549.29
2460981.57142361 0.98457456 0.04355864 1.73344 2.1312 43530.844
2460981.57157407 0.9939326 0.04363889 1.73164 2.2326 43447.05
2460981.57172454 0.96275586 0.04308114 1.72984 2.3832 43358.49
2460981.571875 0.9533327 0.04256682 1.72804 2.1019 43276.035
2460981.57202546 0.9769691 0.04289045 1.72624 2.2755 43167.3
2460981.57217593 1.0397856 0.04378534 1.72446 2.1938 43165.336
2460981.57232639 1.0035728 0.04328299 1.72267 2.2806 43187.047
2460981.57247685 1.0175703 0.0434113 1.72087 2.3866 43124.367
2460981.57261574 0.9478794 0.04209384 1.71911 2.1713 43061.438
2460981.5727662 0.96680486 0.04221916 1.71735 2.2267 43093.88
2460981.57291667 0.97594213 0.0426777 1.71558 2.332 43001.07
2460981.57306713 0.99998724 0.04253244 1.71384 2.3673 42993.0
2460981.57321759 0.9955703 0.04244746 1.71209 2.223 43022.07
2460981.57336806 0.98166746 0.04196262 1.71035 2.2723 42945.38
2460981.57351852 0.98472995 0.04251705 1.70862 1.9962 42912.26
2460981.57366898 0.95870286 0.04173173 1.70689 2.3538 42888.504
2460981.57380787 0.95015776 0.04170946 1.70517 2.2126 42868.03
2460981.57395833 0.9623542 0.04176645 1.70344 2.286 42839.742
2460981.5741088 0.9453578 0.04108578 1.70173 2.4036 42783.098
2460981.57425926 0.98496604 0.04187676 1.70002 2.4925 42749.598
2460981.57440972 0.9984095 0.04189063 1.69831 2.1801 42633.152
2460981.57456018 1.0022627 0.04216021 1.69661 2.3368 42591.438
2460981.57471065 0.99903345 0.04203949 1.69488 2.1401 42526.637
2460981.57486111 1.0065742 0.04154737 1.6932 2.282 42461.29
2460981.575 1.0233332 0.04184968 1.69152 2.1719 42298.242
2460981.57515046 0.9644399 0.04069161 1.68985 2.1401 42113.49
2460981.57530093 1.0023981 0.0410515 1.68818 2.4918 42149.246
2460981.57545139 0.980293 0.0411787 1.68652 2.3414 42029.52
2460981.57560185 0.96439797 0.04040109 1.68484 2.2293 41951.67
2460981.57575231 0.9200829 0.04021137 1.68318 2.4492 41949.965
2460981.57590278 0.9585904 0.04035385 1.68153 2.1753 41831.37
2460981.57604167 0.9799026 0.0405747 1.67989 2.3806 41792.43
2460981.57619213 0.9859367 0.04039844 1.67823 2.2523 41719.47
2460981.57634259 0.98439866 0.04040353 1.67659 2.232 41732.082
2460981.57649306 0.96071357 0.0401317 1.67495 2.2788 41715.09
2460981.57664352 0.9864868 0.03991948 1.67331 2.2874 41807.785
