BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460900.77056713 0.92900896 0.06274442 1.97523 2.1997 18667.965
2460900.77078704 0.92302555 0.06302863 1.98414 2.1409 18633.71
2460900.7709375 0.8992348 0.06303562 1.98152 2.1248 18606.193
2460900.77108796 0.92498434 0.06314424 1.97895 2.1366 18594.113
2460900.77123843 0.8942782 0.06291573 1.97639 2.0612 18550.936
2460900.77137731 0.94654375 0.06320066 1.97384 2.1594 18540.105
2460900.77152778 0.987531 0.06317743 1.9713 1.9784 18517.527
2460900.77167824 0.9678534 0.06267208 1.96877 1.9302 18492.373
2460900.7718287 1.0116295 0.06364692 1.96626 2.1669 18478.623
2460900.77196759 0.9369903 0.06286362 1.96374 2.062 18452.637
2460900.77211806 0.8963746 0.06184953 1.96123 2.0143 18452.668
2460900.77226852 1.0102283 0.06301541 1.95874 1.9521 18420.24
2460900.77241898 0.9329806 0.06208389 1.95623 2.0348 18421.111
2460900.77255787 0.92678434 0.06109131 1.95374 2.0468 18406.555
2460900.77270833 0.8979931 0.06205211 1.95128 2.0673 18380.062
2460900.7728588 0.9169625 0.06181744 1.94882 2.0081 18407.691
2460900.77300926 0.91450435 0.06144103 1.94633 2.0699 18381.01
2460900.77314815 0.903742 0.06095656 1.94389 1.9861 18380.914
2460900.77329861 0.86474866 0.06043775 1.94144 1.9424 18372.514
2460900.77344907 0.97396624 0.06209743 1.93901 2.0787 18363.314
2460900.77359954 0.98286736 0.06186926 1.93659 2.032 18359.645
2460900.77373843 0.9393638 0.060849 1.9342 1.9836 18322.16
2460900.77388889 0.94609857 0.06113973 1.93178 1.9783 18286.414
2460900.77403935 0.94463444 0.06138071 1.92939 1.977 18263.42
2460900.77418981 1.0089377 0.06212821 1.92699 1.9298 18250.252
2460900.7743287 0.92081326 0.06006316 1.92461 2.0768 18225.316
2460900.77447917 0.9195963 0.06004862 1.92224 1.9853 18223.172
2460900.77462963 0.91286725 0.05999477 1.91988 2.0834 18175.46
2460900.77478009 0.9531934 0.06053272 1.91752 2.1425 18171.953
2460900.77491898 0.9606362 0.05957042 1.91516 2.0542 18149.17
2460900.77506944 0.97748303 0.05984683 1.91282 1.9906 18144.14
2460900.77521991 0.92574924 0.05957662 1.91044 2.0264 18130.94
2460900.77537037 0.9323659 0.06019715 1.9081 2.06 18137.988
2460900.77552083 0.9896899 0.06039625 1.90578 2.0762 18116.74
2460900.77565972 0.9380701 0.05910954 1.90348 1.982 18110.057
2460900.77581019 0.87806237 0.05873521 1.90115 1.9915 18069.867
2460900.77596065 0.8813781 0.05850648 1.89886 1.9893 18050.639
2460900.77611111 0.94431007 0.05928367 1.89656 2.071 18031.475
2460900.77625 0.9383879 0.05905498 1.89428 1.9881 17982.15
2460900.77640046 0.9292643 0.05852243 1.89199 2.102 17957.793
2460900.77655093 0.988927 0.05874174 1.88973 2.023 17931.66
2460900.77670139 0.9056192 0.05801695 1.88745 2.0763 17898.385
2460900.77684028 0.96754456 0.05861364 1.88521 2.0886 17898.318
2460900.77699074 0.9506926 0.05840233 1.88295 2.0423 17864.201
2460900.7771412 0.92080086 0.05705691 1.8807 2.032 17830.26
2460900.77729167 0.99232477 0.0581975 1.87847 2.0171 17804.443
2460900.77743056 0.9144646 0.05774669 1.87621 2.0109 17791.39
2460900.77758102 0.8996961 0.05716701 1.874 2.0376 17810.293
2460900.77773148 0.91531056 0.05646285 1.87177 2.0576 17770.262
2460900.77788194 0.8580761 0.05652637 1.86956 2.0657 17752.883
2460900.77802083 0.9533141 0.0576697 1.86735 1.9908 17718.85
2460900.7781713 0.93170696 0.05689356 1.86517 2.1327 17696.312
2460900.77832176 0.9193198 0.05701971 1.86298 2.1865 17654.705
2460900.77847222 0.966038 0.05694174 1.8608 2.0703 17622.65
2460900.77861111 0.96351707 0.05722325 1.85862 1.9805 17616.96
2460900.77876157 0.9282688 0.05652873 1.85645 2.0884 17573.734
2460900.77891204 0.9067705 0.05605985 1.85429 2.0394 17555.744
2460900.7790625 0.9965112 0.0569503 1.85214 2.0506 17552.48
2460900.77920139 0.94825053 0.05630678 1.85 2.0946 17519.678
2460900.77935185 0.9600441 0.05599469 1.84787 1.8915 17534.0
2460900.77950231 0.94796747 0.05642784 1.84573 2.0828 17551.299
2460900.77965278 0.95522976 0.05619385 1.84358 2.1713 17527.57
2460900.77980324 0.9214566 0.0558677 1.84146 2.1369 17542.686
2460900.77994213 0.9360353 0.05569511 1.83935 2.0344 17498.855
2460900.78009259 0.9846429 0.05613479 1.83723 2.0774 17518.031
2460900.78024306 0.94313127 0.05620785 1.83514 1.9877 17495.566
2460900.78038194 0.96213186 0.05608435 1.83305 2.1347 17470.406
2460900.78053241 0.9557517 0.05534006 1.83097 2.0801 17470.41
2460900.78068287 0.91329837 0.05474887 1.8289 2.0536 17431.938
2460900.78083333 0.90445167 0.05491668 1.82682 1.8827 17426.07
2460900.78097222 0.9277433 0.05443455 1.82475 2.0568 17406.826
2460900.78112269 0.9508697 0.05545633 1.82269 2.0245 17398.715
2460900.78127315 0.9668956 0.05526975 1.82063 2.025 17378.363
2460900.78142361 0.93863654 0.05485193 1.81858 2.1395 17377.52
2460900.7815625 0.88748705 0.05448015 1.81653 2.0923 17361.445
2460900.78171296 0.937221 0.05482194 1.81449 2.0127 17363.273
2460900.78186343 0.9026022 0.05402781 1.81243 1.9606 17375.78
2460900.78201389 0.9236364 0.05485442 1.8104 2.0914 17392.133
2460900.78216435 1.018761 0.05568607 1.80839 2.068 17379.729
2460900.78230324 0.93696547 0.05445659 1.80637 2.0263 17374.693
2460900.7824537 0.96844673 0.05460769 1.80436 2.0695 17368.56
