BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460981.55423611 1.0185364 0.06536115 1.97254 2.2914 25349.412
2460981.55449074 1.0564405 0.06566253 1.98038 2.4032 25231.57
2460981.55462963 1.050089 0.06592467 1.97782 2.1563 25231.523
2460981.55478009 1.0118109 0.0651969 1.97525 2.4366 25186.537
2460981.55493056 1.062396 0.06546086 1.97269 2.2621 25180.625
2460981.55508102 1.0333142 0.06426711 1.97015 2.2205 25172.357
2460981.55521991 0.9997912 0.06421655 1.96759 2.4757 25142.287
2460981.55537037 1.0218071 0.06371318 1.96507 2.3689 25094.998
2460981.55552083 0.9927335 0.06384345 1.96255 2.2292 25077.17
2460981.5556713 1.0375392 0.06455726 1.96004 2.3436 25079.312
2460981.55582176 1.004717 0.06380955 1.95752 2.4138 25081.98
2460981.55596065 1.0616616 0.0645879 1.95501 2.1685 25046.686
2460981.55611111 1.0178047 0.06404161 1.95252 2.189 24980.139
2460981.55626157 0.97118306 0.06351687 1.95004 2.2852 25004.31
2460981.55641204 0.9781753 0.06294772 1.94757 2.2616 24957.498
2460981.55655093 1.052215 0.06353904 1.94511 2.2774 24930.742
2460981.55670139 0.9998673 0.06248444 1.94261 2.2805 24902.906
2460981.55685185 0.98954153 0.06232875 1.94019 2.3168 24860.432
2460981.55700231 1.1246068 0.06419379 1.93774 2.3101 24831.807
2460981.55715278 0.9841909 0.06245052 1.93531 2.5446 24803.746
2460981.55730324 1.0497218 0.06232297 1.93289 2.5451 24753.625
2460981.55744213 1.039258 0.06222738 1.93047 2.2926 24774.145
2460981.55759259 1.0167323 0.06193953 1.92807 2.4661 24704.354
2460981.55774306 1.0711972 0.0626815 1.92566 2.4125 24686.771
2460981.55789352 1.0479462 0.06191006 1.92327 2.5519 24613.84
2460981.55803241 0.964814 0.0609117 1.9209 2.4325 24617.475
2460981.55818287 1.0403432 0.06170034 1.91853 2.4074 24559.473
2460981.55833333 0.99453807 0.06108778 1.91617 2.5381 24502.006
2460981.5584838 0.9991049 0.06067039 1.91382 2.5016 24489.553
2460981.55863426 1.0131867 0.06082933 1.91147 2.3084 24464.72
2460981.55877315 0.949303 0.05976155 1.90911 2.4151 24437.521
2460981.55892361 1.0401679 0.06081593 1.90673 2.4129 24468.953
2460981.55907407 1.0145984 0.05995055 1.90441 2.4163 24468.033
2460981.55922454 1.012513 0.060305 1.9021 2.4629 24452.06
2460981.559375 1.0011214 0.06030361 1.89978 2.3632 24448.227
2460981.55951389 1.058476 0.06082458 1.89747 2.3291 24464.148
2460981.55966435 0.96340555 0.05984425 1.89517 2.3967 24479.746
2460981.55981481 1.0419648 0.06057783 1.89288 2.5256 24480.992
2460981.55996528 1.0152628 0.06044806 1.8906 2.4546 24479.115
2460981.56011574 1.0451024 0.06125593 1.88832 2.2209 24499.518
2460981.56025463 1.0616562 0.06071841 1.88605 2.4647 24492.256
2460981.56040509 1.015269 0.05993709 1.8838 2.3955 24481.334
2460981.56055556 1.0134392 0.05982193 1.88154 2.374 24501.219
2460981.56070602 1.0901006 0.05986992 1.87929 2.5546 24482.182
2460981.56085648 0.9826452 0.05913887 1.87706 2.3397 24510.45
2460981.56099537 0.98349655 0.05908935 1.87481 2.3459 24470.682
2460981.56114583 1.0512016 0.06052112 1.87257 2.3603 24449.348
2460981.5612963 0.9439737 0.05868925 1.87033 2.3496 24444.0
2460981.56144676 1.0236783 0.05911127 1.86812 2.3943 24391.389
2460981.56159722 0.9227762 0.05783422 1.86592 2.3288 24331.066
2460981.56174769 1.0761819 0.05947898 1.86373 2.3679 24272.855
2460981.56188657 0.97003675 0.05865219 1.86153 2.419 24232.639
2460981.56203704 1.0741907 0.05862673 1.85935 2.4638 24184.852
2460981.5621875 1.0107695 0.05742102 1.85715 2.2045 24078.781
2460981.56233796 0.98662335 0.05725296 1.85498 2.3937 24088.055
2460981.56248843 1.0176822 0.05793737 1.85282 2.3137 24052.92
2460981.56262731 0.9797324 0.05709118 1.85066 2.5275 24058.21
2460981.56277778 1.1118191 0.05840456 1.84851 2.3588 24028.436
2460981.56292824 0.9791533 0.0572218 1.84636 2.5568 23958.771
2460981.5630787 0.9971006 0.05695829 1.84422 2.4515 23971.664
2460981.56322917 1.0118634 0.05746189 1.84208 2.4234 23943.865
2460981.56337963 1.1097734 0.05759757 1.83993 2.4876 23892.957
2460981.56351852 1.0376005 0.05669976 1.83782 2.5302 23892.684
2460981.56366898 0.9883875 0.0560505 1.83571 2.2721 23884.158
2460981.56381944 1.0215336 0.05625517 1.83361 2.3493 23899.953
2460981.56396991 1.0288227 0.05672916 1.8315 2.2837 23905.16
2460981.56412037 1.0501364 0.05660254 1.8294 2.402 23912.344
2460981.56425926 1.1295248 0.05765484 1.82731 2.4189 23916.986
2460981.56440972 1.0195636 0.05574106 1.82524 2.3861 23897.844
2460981.56456019 1.0186212 0.05643376 1.82317 2.3618 23920.734
2460981.56471065 1.0267844 0.05687043 1.82109 2.5429 23887.84
2460981.56486111 1.0074935 0.056737 1.81902 2.3161 23857.037
2460981.565 1.0845808 0.05644698 1.81698 2.273 23855.904
2460981.56515046 1.0013534 0.0554467 1.81493 2.4426 23788.37
2460981.56530093 1.035032 0.05546977 1.81288 2.3803 23804.955
2460981.56545139 0.989518 0.05555211 1.81085 2.4537 23867.4
2460981.56560185 1.0665582 0.05578426 1.80878 2.3813 23872.873
2460981.56575231 0.99121755 0.05508231 1.80677 2.311 23864.424
2460981.5658912 1.0912899 0.05673505 1.80476 2.5402 23849.656
2460981.56604167 1.0183234 0.05514391 1.80274 2.3602 23821.752
2460981.56619213 1.0220233 0.05528384 1.80074 2.5373 23800.385
2460981.56634259 1.0511688 0.05534093 1.79873 2.4891 23741.47
2460981.56649306 1.0046787 0.05439811 1.79675 2.4505 23744.154
2460981.56663194 0.93050414 0.05429951 1.79476 2.4557 23784.012
2460981.56678241 1.034896 0.05503404 1.79278 2.3925 23735.83
2460981.56693287 0.95477396 0.05448388 1.79081 2.448 23692.592
2460981.56708333 1.0025296 0.05351785 1.78885 2.2816 23640.793
2460981.5672338 0.99510324 0.05354466 1.78687 2.2584 23639.328
2460981.56737269 1.0159674 0.05465167 1.78491 2.1837 23609.016
2460981.56752315 0.96124613 0.05364762 1.78295 2.3276 23583.42
2460981.56767361 0.9971306 0.05364837 1.78101 2.4202 23550.168
2460981.56782407 0.9554878 0.05384222 1.77905 2.4007 23518.273
2460981.56797454 1.0790917 0.05428235 1.77712 2.3688 23428.879
2460981.568125 1.0353569 0.05405048 1.7752 2.3404 23415.182
2460981.56826389 0.9404206 0.05261379 1.77327 2.366 23377.26
2460981.56841435 0.96721053 0.05251827 1.77136 2.5058 23314.725
2460981.56856481 0.95054877 0.05271115 1.76945 2.3773 23267.875
2460981.56871528 0.9519006 0.05285548 1.76753 2.5142 23276.414
2460981.56886574 0.9273475 0.05182081 1.76564 2.3915 23243.438
