BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460981.55421296 0.79800344 0.11343359 1.97175 2.1486 11781.2
2460981.55452546 1.0261881 0.11652413 1.97935 2.0579 11733.348
2460981.55467593 0.8996496 0.11217523 1.97681 2.0399 11724.683
2460981.55482639 0.7526305 0.11030114 1.97423 1.9894 11724.546
2460981.55497685 0.9300847 0.11256011 1.97169 1.9121 11699.848
2460981.55511574 1.0541068 0.11440875 1.96914 1.9662 11674.626
2460981.5552662 0.9403187 0.11403154 1.96661 1.9738 11671.384
2460981.55541667 1.0609024 0.1134349 1.96409 1.9993 11640.043
2460981.55556713 1.038166 0.11292499 1.96158 2.007 11648.169
2460981.55570602 0.8490516 0.11030679 1.95909 2.1305 11633.847
2460981.55585648 1.3324553 0.1161639 1.95659 2.0617 11633.253
2460981.55600694 0.91100055 0.11130632 1.95411 2.0254 11608.801
2460981.55615741 0.88669175 0.11134308 1.95162 1.9636 11607.038
2460981.55630787 0.8528414 0.10975748 1.94915 2.0713 11585.971
2460981.55644676 0.87504786 0.11000902 1.94669 1.9035 11575.876
2460981.55659722 0.82117033 0.10887753 1.94423 1.971 11561.981
2460981.55674769 0.95673615 0.11038045 1.94174 2.1122 11541.043
2460981.55689815 0.9349513 0.11078378 1.93931 2.0928 11531.784
2460981.55704861 0.8279556 0.10836744 1.93688 1.9925 11512.206
2460981.5571875 0.776234 0.10824574 1.93445 1.8849 11505.086
2460981.55733796 1.0073152 0.10807285 1.93204 2.0787 11496.901
2460981.55748843 1.0717821 0.11006275 1.92963 2.068 11483.993
2460981.55763889 0.96911126 0.10927044 1.92723 1.9401 11462.474
2460981.55777778 0.9861573 0.10903778 1.92484 1.9941 11431.329
2460981.55792824 0.84962165 0.10771425 1.92247 2.0676 11417.778
2460981.5580787 1.0296293 0.1090045 1.9201 2.0194 11397.067
2460981.55822917 0.892967 0.10795058 1.91775 2.1728 11392.631
2460981.55836806 0.8183204 0.10691732 1.91538 2.0491 11367.49
2460981.55851852 0.8755255 0.10568112 1.91304 2.0553 11351.821
2460981.55866898 0.9465103 0.10729907 1.9107 2.1262 11352.451
2460981.55881944 0.93166643 0.10788949 1.90835 1.9951 11357.92
2460981.55896991 0.917485 0.10736505 1.90598 2.0937 11357.438
2460981.5591088 0.89509815 0.10505392 1.90366 1.9957 11353.804
2460981.55925926 1.0862128 0.1076182 1.90136 2.0241 11360.633
2460981.55940972 0.8544045 0.10526743 1.89904 1.9907 11376.352
2460981.55956019 0.94730747 0.10637653 1.89676 1.9067 11357.186
2460981.55969907 0.7594483 0.10451064 1.89447 2.1275 11375.306
2460981.55984954 0.9840567 0.10779049 1.89218 2.0586 11376.173
2460981.56 0.9237688 0.10680702 1.8899 2.1231 11354.741
2460981.56015046 1.0513284 0.10789945 1.88763 1.9754 11381.229
2460981.56030093 1.0209265 0.10704047 1.88537 2.0831 11385.281
2460981.56043981 1.0518051 0.10776288 1.88313 1.9497 11394.816
2460981.56059028 1.0399421 0.10643937 1.88087 2.0015 11399.699
2460981.56074074 0.8718436 0.10644585 1.87862 1.9444 11373.315
2460981.5608912 0.9206034 0.10469304 1.87639 2.0362 11384.255
2460981.56103009 0.8940549 0.10603648 1.87416 1.8259 11361.75
2460981.56118056 0.8868053 0.10651945 1.87191 2.0757 11348.688
2460981.56133102 0.92642844 0.10479687 1.86969 2.054 11336.846
2460981.56148148 0.97031814 0.10492185 1.86748 2.1209 11319.748
2460981.56163194 0.88005584 0.10409993 1.86528 2.1596 11300.719
2460981.56178241 0.80200005 0.10380641 1.86309 1.9531 11273.92
2460981.5619213 1.0533868 0.1055241 1.86091 2.0644 11254.946
2460981.56207176 0.8182255 0.10281259 1.85873 2.0846 11214.432
2460981.56222222 0.9962443 0.10494202 1.85654 2.0769 11181.611
2460981.56237269 0.9869918 0.10276857 1.85437 2.0192 11175.834
2460981.56251157 0.902718 0.1041952 1.85222 2.0662 11178.67
2460981.56266204 1.0044096 0.10397551 1.85007 2.0542 11143.74
2460981.5628125 1.004686 0.10393049 1.84793 1.9112 11147.681
2460981.56296296 0.7866565 0.10073099 1.8458 2.021 11134.315
2460981.56310185 0.81711775 0.10104416 1.84366 2.055 11123.701
2460981.56325231 0.87231195 0.10164053 1.84153 2.0186 11113.244
2460981.56340278 0.8372291 0.10062735 1.83937 2.0564 11088.737
2460981.56355324 0.82828146 0.09989458 1.83728 1.9427 11079.572
