BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460981.55423611 1.0148944 0.06803756 1.97195 2.1943 18395.562
2460981.55457176 0.86073476 0.06680068 1.97874 2.2278 18315.615
2460981.55472222 0.87863076 0.06606894 1.97616 2.1616 18301.055
2460981.55486111 0.86507034 0.06670721 1.97359 2.0517 18293.035
2460981.55501157 0.87941664 0.06682415 1.97102 2.1469 18253.512
2460981.55516204 0.9596705 0.06816936 1.96846 2.0558 18253.238
2460981.5553125 0.9802654 0.06679919 1.96589 2.1706 18201.055
2460981.55546296 0.92166466 0.06628446 1.96336 2.277 18188.588
2460981.55561343 1.0039281 0.06707396 1.96082 2.195 18210.93
2460981.55575231 0.97806954 0.06682321 1.95831 2.2467 18185.611
2460981.55590278 0.91888833 0.06650923 1.95581 2.1095 18148.59
2460981.55605324 0.95246905 0.06599847 1.9533 2.2413 18161.195
2460981.5562037 0.90791154 0.06564718 1.95081 2.1769 18109.502
2460981.55635417 0.96369743 0.06566258 1.94832 2.2839 18102.268
2460981.55650463 0.9430449 0.06539489 1.94585 2.0561 18111.674
2460981.55665509 0.93753314 0.06538042 1.94338 2.2092 18080.496
2460981.55680556 0.8637792 0.06476927 1.94089 2.1481 18047.756
2460981.55694444 0.92739606 0.06480126 1.93842 2.1822 18027.541
2460981.55709491 0.826017 0.0636799 1.93597 2.0444 17978.695
2460981.55726852 1.01308 0.06568448 1.93316 2.174 18018.113
2460981.55741898 0.845317 0.06303718 1.93072 2.1538 17965.248
2460981.55756944 0.9844111 0.06454336 1.9283 2.1067 17943.111
2460981.55770833 0.9700117 0.06410758 1.92589 2.109 17881.902
2460981.5578588 1.0099391 0.06532559 1.9235 2.2449 17895.506
2460981.55800926 0.93879783 0.06365174 1.9211 2.0473 17859.021
2460981.55815972 0.90853614 0.06338536 1.91872 2.2318 17845.844
2460981.55831019 0.92516595 0.06292853 1.91633 2.1471 17805.604
2460981.55846065 0.91714895 0.06330922 1.91397 2.1195 17768.45
2460981.55859954 0.9505077 0.06291565 1.91161 2.1154 17750.594
2460981.55875 0.9937385 0.0638542 1.90924 2.2457 17767.568
2460981.55890046 0.9647902 0.06340247 1.90691 2.1759 17736.879
2460981.55905093 0.9674342 0.06312772 1.90453 2.1777 17740.668
2460981.55920139 0.9321374 0.06257255 1.9022 2.1916 17753.365
2460981.55935185 0.98471886 0.06475139 1.89987 2.1766 17765.059
2460981.55950231 0.91900176 0.06284076 1.89754 2.1392 17741.605
2460981.5596412 0.8772582 0.06143746 1.89524 2.1409 17759.637
2460981.55979167 0.91528493 0.06316578 1.89293 2.2783 17795.951
2460981.55994213 0.89298147 0.06133177 1.89063 2.0655 17755.37
2460981.56009259 1.0365454 0.06423882 1.88834 2.2576 17755.293
2460981.56024306 0.90715545 0.06247729 1.88606 2.0933 17770.03
2460981.56039352 0.9126546 0.0621641 1.8838 2.1593 17789.064
2460981.56053241 0.91061044 0.06256936 1.88153 2.1391 17780.645
2460981.56068287 0.9513367 0.06200607 1.87927 2.2477 17765.8
2460981.56083333 0.9579559 0.06259049 1.87702 2.1311 17762.896
2460981.5609838 0.9864929 0.06232736 1.87477 2.1635 17771.479
2460981.56113426 0.969069 0.06229098 1.87254 2.1353 17760.17
2460981.56128472 0.7777721 0.05989597 1.87027 2.1389 17727.605
2460981.56142361 0.97522295 0.06190319 1.86806 2.124 17689.307
2460981.56157407 0.89465934 0.06125173 1.86584 2.1152 17687.643
2460981.56172454 0.9407472 0.06123529 1.86364 2.1354 17624.557
2460981.561875 0.87098116 0.06047076 1.86144 2.1586 17618.432
2460981.56202546 0.91753536 0.06040797 1.85925 2.2475 17554.47
2460981.56217593 0.95886374 0.06088815 1.85707 2.2326 17512.146
2460981.56231481 0.9801074 0.06087885 1.85488 2.2088 17482.725
2460981.56246528 0.96555036 0.06139521 1.85272 2.175 17448.785
2460981.56261574 0.9452418 0.06025467 1.85055 2.2072 17457.504
2460981.5627662 0.9278646 0.0607243 1.84839 2.1544 17453.623
2460981.56291667 0.89799535 0.05958334 1.84624 2.1503 17413.572
2460981.56306713 1.0048112 0.06080742 1.8441 2.1932 17407.041
2460981.56320602 0.9017488 0.05938144 1.84196 2.1209 17365.703
2460981.56335648 0.9077871 0.06037914 1.83983 2.1441 17359.84
2460981.56350694 0.9762923 0.05963384 1.83766 2.1506 17325.58
2460981.56365741 0.96565634 0.06026088 1.83554 2.2626 17352.406
2460981.56380787 0.94084746 0.05922058 1.83342 1.896 17343.752
2460981.56395833 0.9104836 0.05950756 1.83133 2.1839 17391.48
2460981.56409722 0.94503814 0.05913523 1.82922 2.1608 17344.727
2460981.56424769 0.9589913 0.06041368 1.82713 2.1002 17379.428
2460981.56439815 0.9264196 0.0589661 1.82505 2.1621 17370.162
2460981.56454861 0.95852566 0.05893622 1.82297 2.0698 17329.99
2460981.56469907 0.9538911 0.05889239 1.8209 2.0888 17320.777
2460981.56484954 0.9602622 0.05947297 1.81882 2.1406 17319.756
2460981.56498843 0.9810978 0.05933452 1.81676 2.3189 17298.434
2460981.56513889 0.95817226 0.05889908 1.81471 2.096 17293.564
2460981.56528935 0.94862556 0.05884023 1.81266 2.1548 17308.783
2460981.56543981 0.9202956 0.05829336 1.81062 2.2784 17315.375
2460981.56559028 0.9750467 0.05918825 1.80857 2.1085 17329.945
2460981.56574074 1.0369543 0.05952314 1.80652 2.1688 17314.555
2460981.5658912 0.9266879 0.05824737 1.80449 2.1462 17310.129
2460981.56604167 0.93361133 0.05822516 1.80247 2.2782 17295.422
2460981.56618056 0.98374426 0.05812035 1.80045 2.2688 17292.67
2460981.56633102 0.9570838 0.05826443 1.79845 2.0966 17277.7
2460981.56648148 1.0309252 0.05929745 1.79645 2.1521 17238.23
2460981.56663194 0.9889259 0.05790664 1.79445 2.0641 17225.322
