BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460900.77068287 0.91752887 0.06721398 1.97482 2.2879 18787.057
2460900.77092593 0.89470845 0.06792194 1.98167 2.1819 18756.73
2460900.77107639 0.88075995 0.0671076 1.97908 2.1884 18729.707
2460900.77122685 0.9325267 0.06829834 1.9765 2.1981 18716.01
2460900.77137731 0.9448137 0.06851672 1.97391 2.3414 18686.127
2460900.77152778 1.0076993 0.06873793 1.97133 2.2574 18677.38
2460900.77167824 0.92981637 0.0675967 1.96876 2.1306 18628.05
2460900.7718287 1.0464641 0.06885317 1.96621 2.3041 18597.023
2460900.77196759 0.98168516 0.0680012 1.96368 2.3304 18597.156
2460900.77211806 0.9409905 0.06774539 1.96114 2.2282 18573.924
2460900.77226852 0.8878091 0.06593041 1.95862 2.1854 18550.35
2460900.77241898 0.9585267 0.0676506 1.95612 2.1984 18538.908
2460900.77256944 0.98194754 0.06643914 1.95362 2.2579 18542.602
2460900.77271991 0.9991823 0.06654254 1.95113 2.1764 18529.021
2460900.7728588 0.9612499 0.06647468 1.94863 2.19 18528.33
2460900.77300926 0.92080206 0.06638831 1.94615 2.0385 18529.545
2460900.77315972 0.89814657 0.06585713 1.94365 2.2553 18507.271
2460900.77331019 0.9352296 0.06597354 1.94117 2.1038 18507.209
2460900.77346065 0.940931 0.06591389 1.93871 2.1755 18496.934
2460900.77361111 1.0035453 0.06627401 1.93626 2.2253 18475.092
2460900.77376157 0.9749683 0.06664112 1.93381 2.2642 18483.297
2460900.77391204 0.90251935 0.06499472 1.93139 2.2306 18422.283
2460900.77405093 1.0020878 0.06584009 1.92895 2.1644 18429.766
2460900.77420139 0.9672255 0.0656226 1.92654 2.2641 18368.02
2460900.77435185 0.95536435 0.0652809 1.92414 2.0879 18357.729
2460900.77450231 0.9760085 0.06515829 1.92173 2.1005 18330.06
2460900.77465278 0.9824963 0.06483132 1.91935 2.279 18337.566
2460900.77480324 0.91755295 0.06430338 1.91696 2.1863 18332.078
2460900.7749537 0.8846625 0.06420565 1.91457 2.197 18293.896
2460900.77509259 0.911361 0.06386382 1.91221 2.2224 18300.75
2460900.77524306 0.9669673 0.06429466 1.90984 2.2545 18250.39
2460900.77539352 0.969163 0.06476772 1.90745 2.2375 18255.674
2460900.77554398 1.0492505 0.06528693 1.90509 2.0958 18258.57
2460900.77569444 0.99050665 0.06474493 1.90275 2.1868 18220.008
2460900.77584491 0.9112884 0.06314625 1.90043 2.1523 18200.8
2460900.77599537 0.96799403 0.06364695 1.8981 2.2219 18160.164
2460900.77614583 0.91516906 0.06333309 1.89579 2.2802 18117.285
2460900.77628472 0.9503236 0.06295305 1.89348 2.1911 18131.283
2460900.77643519 0.96779495 0.06320043 1.89117 2.1679 18082.018
2460900.77658565 0.96164 0.06282257 1.88889 2.0934 18090.217
2460900.77673611 0.92240655 0.06256665 1.88659 2.163 18048.402
2460900.77688657 0.8898368 0.0622938 1.88432 2.2006 18029.115
2460900.77703704 0.9547202 0.06248714 1.88203 2.1269 17982.143
2460900.7771875 0.9168402 0.06218411 1.87977 2.2472 17987.22
2460900.77732639 0.96065193 0.06238505 1.87751 2.093 17959.963
2460900.77747685 0.94843996 0.06226313 1.87526 2.2896 17959.553
2460900.77762731 0.92412984 0.06170768 1.87298 2.2105 17949.387
2460900.77777778 0.9574184 0.06188395 1.87075 2.1033 17931.27
2460900.77792824 0.9739768 0.06167316 1.86853 2.2562 17879.975
2460900.7780787 1.0113611 0.06253359 1.86631 2.3522 17884.846
2460900.77822917 0.9396875 0.06143312 1.86409 2.229 17845.22
2460900.77837963 0.9088963 0.06116158 1.86187 2.3337 17805.645
2460900.77851852 0.93564135 0.06070403 1.85967 2.1819 17779.266
2460900.77866898 0.9766268 0.06166882 1.85748 2.0505 17765.736
2460900.77881944 0.98337764 0.06112566 1.8553 2.2111 17730.82
2460900.77896991 0.9235519 0.06076339 1.85313 2.2194 17716.504
2460900.77912037 0.96205074 0.06119134 1.85096 2.097 17683.16
2460900.77927083 0.93604684 0.06107551 1.84879 2.1611 17713.566
2460900.7794213 0.9538118 0.06072006 1.84664 2.2387 17694.65
2460900.77956019 0.9407471 0.06088619 1.84448 2.1647 17700.973
2460900.77971065 0.9903281 0.06114264 1.84235 2.26 17698.338
2460900.77986111 0.9010141 0.05911444 1.84017 2.1624 17683.04
2460900.78001157 0.9261948 0.05956526 1.83803 2.1905 17675.877
2460900.78016204 1.0168918 0.0609563 1.83591 2.2021 17669.605
2460900.7803125 1.0000049 0.0605826 1.83379 2.2132 17654.764
2460900.78046296 1.0243882 0.06099119 1.83169 2.2133 17620.578
2460900.78060185 0.95339185 0.05930069 1.8296 2.2005 17600.967
2460900.78075231 0.923474 0.05899249 1.8275 2.1395 17598.72
2460900.78090278 0.9723821 0.05955097 1.82542 2.0853 17572.55
2460900.78105324 1.0421567 0.06030106 1.82333 2.1736 17566.824
2460900.7812037 0.9708112 0.05915214 1.82125 2.1797 17548.357
2460900.78135417 0.94149655 0.05954197 1.81918 2.2172 17542.988
2460900.78150463 0.9820926 0.05935579 1.81712 2.254 17537.883
2460900.78164352 0.9739604 0.05885476 1.81506 2.1775 17540.732
2460900.78179398 0.9444303 0.05934366 1.81301 2.1208 17582.521
2460900.78194444 0.9703807 0.05842466 1.81097 2.1519 17546.094
2460900.78209491 0.942487 0.05853713 1.80889 2.2807 17544.389
2460900.78224537 0.9428521 0.05903599 1.80686 2.1793 17530.479
2460900.78239583 0.93246853 0.05796461 1.80485 2.1659 17521.963
2460900.7825463 1.021026 0.05946761 1.80281 2.195 17542.77
2460900.78268519 0.9526128 0.05785425 1.80081 2.0869 17509.842
2460900.78283565 0.9605117 0.05843702 1.7988 2.1302 17512.64
2460900.78298611 0.9476294 0.05888069 1.79682 2.1807 17494.033
2460900.78313657 1.0439543 0.05923379 1.79482 2.2513 17483.914
2460900.78328704 0.9495948 0.05721525 1.79283 2.1122 17476.436
2460900.7834375 0.93234307 0.05746646 1.79085 2.1783 17390.273
2460900.78357639 0.9806251 0.0579866 1.78887 2.0778 17368.496
2460900.78372685 0.9418878 0.05764279 1.78691 2.2171 17361.773
2460900.78387731 0.9762415 0.05854735 1.78494 2.2675 17336.668
2460900.78402778 0.96223795 0.05792025 1.78298 2.1932 17310.06
2460900.78417824 0.9593612 0.05758456 1.78103 2.0678 17282.604
2460900.7843287 1.0270683 0.05826842 1.77905 2.0458 17287.53
2460900.78447917 0.9657042 0.05699974 1.77711 2.2491 17234.305
2460900.78462963 0.95617497 0.05713301 1.77518 2.1946 17242.076
2460900.78476852 1.0042124 0.05729316 1.77325 2.1385 17226.188
2460900.78491898 0.8723549 0.05640717 1.77134 2.1519 17214.762
2460900.78506944 1.0074872 0.05741118 1.76942 2.1598 17244.65
2460900.78521991 0.9965061 0.05746623 1.7675 2.2599 17228.15
2460900.78537037 1.0141748 0.0570782 1.7656 2.0682 17202.713
2460900.78550926 0.91034997 0.05550758 1.76371 2.0671 17209.33
2460900.78565972 0.92761433 0.05613733 1.76182 2.0321 17181.707
2460900.78581019 0.95562077 0.05605523 1.75992 2.1367 17132.502
2460900.78596065 0.9850143 0.05677337 1.75804 2.1543 17123.115
2460900.78611111 0.9395878 0.05597417 1.75617 2.0967 17139.488
2460900.78626157 0.99480766 0.05595997 1.75431 2.21 17104.732
2460900.78641204 0.9767734 0.0561126 1.75243 2.095 17092.836
2460900.7865625 0.95624304 0.0556994 1.75055 2.0036 17060.35
2460900.78670139 0.982382 0.05616272 1.74869 2.2649 17051.816
2460900.78685185 0.931135 0.05541856 1.74684 2.0556 17053.143
2460900.78700231 0.9678977 0.05585232 1.745 2.2489 17042.629
2460900.78715278 0.97566545 0.05599579 1.74316 2.1375 17021.934
2460900.78730324 0.97892284 0.05543252 1.74133 2.101 17022.086
2460900.7874537 1.0146252 0.05598669 1.73951 2.2054 16997.662
2460900.78759259 0.9177566 0.05501047 1.73769 2.1154 16973.879
2460900.78774306 1.0133344 0.05561466 1.73588 2.1701 16954.975
2460900.78789352 1.0336733 0.05566944 1.73407 2.2247 16952.66
2460900.78804398 0.99129254 0.05542222 1.73225 2.1267 16954.857
2460900.78819444 1.0150871 0.05536525 1.73045 2.1355 16920.264
2460900.78834491 0.9836107 0.05487218 1.72865 2.1819 16887.955
2460900.78849537 1.0217979 0.05494605 1.72687 2.1668 16890.348
2460900.78863426 1.0062392 0.05517315 1.72508 2.1796 16853.137
2460900.78878472 0.95350146 0.05488448 1.72328 2.2529 16865.658
2460900.78893519 0.9694152 0.05457281 1.72151 2.0996 16843.55
2460900.78908565 0.96697074 0.05399682 1.71973 2.2343 16812.406
2460900.78923611 0.9609155 0.05414266 1.71797 2.1155 16800.75
2460900.78938657 0.95314074 0.0538349 1.71621 2.2353 16802.932
2460900.78953704 0.96543753 0.05386341 1.71446 2.1826 16756.158
2460900.7896875 0.9875596 0.05450273 1.71271 2.1765 16777.488
2460900.78982639 0.930106 0.05319245 1.71098 2.1416 16731.86
2460900.78997685 0.92302835 0.05328098 1.70924 2.2621 16721.125
2460900.79012731 0.9808829 0.05370729 1.70751 2.132 16697.607
2460900.79027778 0.947044 0.05398283 1.70579 2.2218 16661.71
2460900.79042824 0.9845406 0.05382103 1.70406 2.1954 16688.424
2460900.7905787 1.0011264 0.05370809 1.70235 2.1155 16667.266
2460900.79072917 0.9892473 0.0532999 1.70063 2.1283 16660.732
2460900.79086806 1.0322458 0.05403379 1.69893 2.0668 16676.195
2460900.79101852 0.9472011 0.05307374 1.69721 2.1101 16661.293
2460900.79116898 0.9558732 0.05318579 1.69551 2.2343 16624.395
2460900.79131944 1.0153095 0.05366468 1.69382 2.0809 16628.814
2460900.79146991 0.98309624 0.0532123 1.69213 2.1675 16617.342
2460900.79162037 0.9812769 0.05282398 1.69045 2.0126 16589.783
2460900.79177083 0.9049383 0.05241651 1.68878 2.1334 16614.209
2460900.7919213 0.9449467 0.05254837 1.6871 2.1791 16562.162
2460900.79206019 1.0038011 0.05274592 1.68544 2.1549 16535.541
2460900.79221065 0.93454486 0.05209436 1.68378 2.1256 16535.465
2460900.79236111 0.9568638 0.05187798 1.68212 2.104 16502.078
2460900.79251157 1.0057342 0.0525815 1.68047 2.0502 16506.902
2460900.79266204 0.94305086 0.05212966 1.67882 2.2646 16480.951
2460900.7928125 1.0146166 0.05262963 1.67718 2.0739 16454.76
2460900.79295139 0.9243092 0.05168046 1.67554 2.2125 16447.02
2460900.79310185 0.93112695 0.05149708 1.67391 2.1003 16421.23
2460900.79325231 0.93745553 0.05202898 1.67226 2.1757 16416.19
2460900.79340278 0.9673551 0.05183911 1.67063 2.1815 16390.63
2460900.79355324 0.97632724 0.05200041 1.669 2.0482 16391.75
2460900.7937037 1.0165275 0.05252944 1.6674 2.1107 16399.738
2460900.79385417 0.9679997 0.05137487 1.66575 2.1129 16353.041
2460900.79400463 1.0010458 0.05219664 1.66416 2.2144 16364.38
2460900.79415509 0.94093317 0.05157963 1.66256 1.9579 16375.544
2460900.79430556 0.9978545 0.05150916 1.66096 2.225 16383.751
2460900.79445602 1.0266501 0.05167108 1.65937 2.1852 16379.042
2460900.79459491 1.0034326 0.05153555 1.65779 2.095 16372.809
2460900.79474537 0.93615973 0.05114634 1.65621 2.1607 16343.65
2460900.79489583 0.9525818 0.0512255 1.65462 2.2149 16331.417
2460900.7950463 0.9524636 0.05131453 1.65307 2.2021 16278.018
2460900.79519676 0.9297985 0.05110582 1.6515 2.1292 16281.266
2460900.79534722 1.0354457 0.05144886 1.64993 2.1533 16237.748
2460900.79549769 1.0688236 0.05162671 1.64834 2.1486 16229.638
2460900.79564815 0.9524906 0.05075403 1.64679 2.1265 16229.294
2460900.79578704 1.0381122 0.05159225 1.64525 2.2681 16183.521
2460900.7959375 0.9248507 0.05071141 1.6437 2.1651 16186.334
