2460941.1462690001 1.0084691366 0.0027289033 1.4665140000 -0.0665874998 0.0044338951 1161.6494690000 870.8458770000
2460941.1465329998 1.0073320936 0.0027289033 1.4661760000 -0.0663235001 0.0043988067 1161.9977950000 870.3852360000
2460941.1467909999 1.0058062552 0.0027289033 1.4658470000 -0.0660655000 0.0043646503 1161.6632650000 869.8798490000
2460941.1470479998 1.0015661851 0.0027289033 1.4655220000 -0.0658085002 0.0043307587 1160.9292140000 869.7233010000
2460941.1473050001 1.0070826777 0.0027289033 1.4651970000 -0.0655514998 0.0042969991 1159.7644030000 870.6084970000
2460941.1475630002 1.0051533724 0.0027289033 1.4648730000 -0.0652934997 0.0042632411 1158.1807680000 870.8660150000
2460941.1478189998 1.0042437380 0.0027289033 1.4645520000 -0.0650375001 0.0042298764 1157.6241780000 870.7565440000
2460941.1480760002 1.0070019843 0.0027289033 1.4642320000 -0.0647804998 0.0041965132 1158.2286710000 871.1985670000
2460941.1483330000 1.0079849764 0.0027289033 1.4639140000 -0.0645234999 0.0041632820 1158.9878350000 870.9641600000
2460941.1485910001 1.0029379725 0.0027289033 1.4635960000 -0.0642654998 0.0041300545 1159.9507230000 870.6471420000
2460941.1488470002 1.0069873128 0.0027289033 1.4632800000 -0.0640094997 0.0040972161 1159.5365790000 870.5702600000
2460941.1491040001 1.0087772386 0.0027289033 1.4629660000 -0.0637524999 0.0040643812 1158.7787170000 869.2329850000
2460941.1493609999 1.0053954526 0.0027289033 1.4626540000 -0.0634955000 0.0040316785 1158.8526180000 867.3646700000
2460941.1496179998 1.0051607082 0.0027289033 1.4623420000 -0.0632385002 0.0039991079 1157.9385460000 867.4438640000
2460941.1498750001 1.0076622029 0.0027289033 1.4620330000 -0.0629814998 0.0039666693 1157.2502500000 868.0325550000
2460941.1501310002 1.0060263280 0.0027289033 1.4617240000 -0.0627254997 0.0039344883 1159.1676110000 870.5755070000
2460941.1503880001 1.0073027505 0.0027289033 1.4614180000 -0.0624684999 0.0039023135 1159.2441560000 871.8955200000
2460941.1506449999 1.0047205625 0.0027289033 1.4611120000 -0.0622115000 0.0038702707 1159.3727620000 872.8514470000
2460941.1509019998 1.0065104883 0.0027289033 1.4608070000 -0.0619545002 0.0038383601 1158.4025090000 873.0576410000
2460941.1511590001 1.0039943221 0.0027289033 1.4605050000 -0.0616974998 0.0038065815 1158.2777920000 870.9182040000
2460941.1514160000 1.0079629691 0.0027289033 1.4602040000 -0.0614405000 0.0037749350 1158.3362570000 869.5110630000
2460941.1516729998 1.0100243180 0.0027289033 1.4599040000 -0.0611835001 0.0037434207 1158.1556430000 868.6785070000
2460941.1519300002 1.0080876770 0.0027289033 1.4596050000 -0.0609264998 0.0037120384 1160.1632300000 868.2407860000
2460941.1521870000 1.0094447929 0.0027289033 1.4593080000 -0.0606694999 0.0036807882 1159.9886320000 868.3628640000
2460941.1524450001 1.0000256752 0.0027289033 1.4590120000 -0.0604114998 0.0036495493 1159.1393930000 867.8307190000
2460941.1527010002 1.0058209267 0.0027289033 1.4587190000 -0.0601554997 0.0036186841 1160.4721810000 868.8440470000
